Protein Id	Gene Symbol	Description	Number of peptides	2726_1	2726_2	2726_3	2726_4	2726_5	2995_1	2995_2	2995_3	2995_6	2995_7
Q0045	COX1	"Subunit I of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"	13	12.374	6.11914	9.57276	6.11603	8.82662	10.1136	13.023	13.3194	12.7677	7.76771
Q0050	AI1	"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"	12	11.6114	7.14279	9.38556	9.71223	10.2185	8.42031	9.69481	10.0441	11.6155	12.1548
Q0055	AI2	"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene"	20	11.7161	6.3941	8.43605	7.44662	9.25953	9.23678	12.6045	12.3716	11.6529	10.8818
Q0060	AI3	"Endonuclease I-SceIII, encoded by a mobile group I intron within the mitochondrial COX1 gene"	7	9.89774	6.56569	9.28235	6.11236	6.66533	10.3907	14.834	15.106	12.7606	8.38521
Q0065	AI4	"Endonuclease I-SceII, encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity"	4	8.8119	5.28563	6.84874	7.47627	7.38231	10.1287	13.2224	13.9384	14.0485	12.8571
Q0070	AI5_ALPHA	"Endonuclease I-SceIV, involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene"	2	12.0812	6.01139	6.89036	7.39003	7.93731	10.2007	14.9767	13.5576	9.72014	11.2345
Q0110	BI2	"Mitochondrial mRNA maturase with a role in splicing, encoded by both exon and intron sequences of partially processed COB mRNA"	12	12.8971	7.57937	9.00772	9.14207	10.7883	8.57735	11.0471	10.6805	11.0398	9.24067
Q0115	BI3	"Mitochondrial mRNA maturase, forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA"	1	11.8997	6.50678	6.81361	13.6879	12.0614	9.47326	8.12009	7.24502	9.53397	14.6583
Q0120	BI4	"Mitochondrial mRNA maturase, forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA"	3	12.0244	7.25673	8.55043	10.6203	10.5796	8.02677	10.287	11.1563	10.5118	10.9866
Q0140	VAR1	"Mitochondrial ribosomal protein of the small subunit, mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane"	61	10.3859	8.22943	8.81092	10.3071	10.5106	8.36709	10.4903	10.3156	10.9083	11.6746
Q0250	COX2	"Subunit II of cytochrome c oxidase, which is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits"	41	13.3052	8.28017	9.36668	4.5941	8.65712	11.1524	14.7779	15.7693	9.77076	4.32628
Q0255	Q0255	Maturase-like protein	4	9.22087	7.79639	9.44768	9.31671	9.23621	9.61668	11.5939	11.3575	11.9692	10.4448
R0020C	REP1	Master regulator that acts in concert with Rep2p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; autoregulates levels of its own transcript	7	14.9466	7.70768	1.34987	4.38515	6.75761	11.639	19.154	20.9674	7.02506	6.06762
R0040C	REP2	Master regulator that acts in concert with Rep1p to regulate transcript levels of the FLP1 gene that promotes plasmid copy amplification; also autoregulates levels of its own transcript	2	8.50074	17.0342	1.12406	1.41628	8.78443	17.0299	7.72035	11.3228	12.4716	14.5957
YAL001C	TFC3	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding	1	10.0744	8.94326	8.72801	11.8385	9.56633	9.92457	7.02234	9.88853	10.9524	13.0617
YAL002W	VPS8	Membrane-associated protein that interacts with Vps21p to facilitate soluble vacuolar protein localization; component of the CORVET complex; required for localization and trafficking of the CPY sorting receptor; contains RING finger motif	3	13.622	7.41305	7.17594	7.56283	8.121	9.13273	15.5159	14.7927	8.72124	7.94263
YAL003W	EFB1	"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"	12	8.60756	13.2885	14.7897	7.72493	8.615	13.9093	8.2923	8.06232	10.1747	6.53584
YAL005C	SSA1	"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall; 98% identical with Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes"	103	7.1873	15.8072	16.632	9.74699	7.94849	11.9422	7.46355	6.65261	9.59515	7.02441
YAL007C	ERP2	"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"	9	10.8885	11.3409	9.7757	11.5423	9.03225	9.07383	8.53416	9.60423	8.08006	12.128
YAL008W	FUN14	Mitochondrial protein of unknown function	3	7.80793	7.42256	10.7088	14.6014	11.4328	8.44711	7.11118	6.96075	11.225	14.2826
YAL009W	SPO7	"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme, regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"	4	10.9792	10.3307	10.5626	8.66083	10.1789	10.5727	9.0078	10.6468	9.40632	9.6542
YAL010C	MDM10	"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins"	16	8.69029	10.1349	9.36368	9.32676	11.7635	9.8833	10.9455	10.3945	10.4055	9.09207
YAL012W	CYS3	"Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine"	4	7.76296	12.543	9.70154	6.50153	8.15299	13.7536	12.8265	12.5229	9.80256	6.43251
YAL015C	NTG1	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress	1	9.315	8.24905	7.06358	9.69788	8.35718	11.6194	9.84792	10.7455	11.7394	13.3651
YAL016W	TPD3	"Regulatory subunit A of the heterotrimeric protein phosphatase 2A (PP2A), which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III"	7	6.26526	9.53913	12.1345	10.0262	6.20834	11.9638	11.0057	9.84124	9.0316	13.9841
YAL017W	PSK1	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status	8	17.7682	9.08624	4.42667	3.39174	8.81564	9.68501	18.4206	18.0923	5.4491	4.86451
YAL019W	FUN30	"Conserved member of the Snf2p family with ATP-dependent chromatin remodeling activity; has a role in silencing; potential Cdc28p substrate; authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies"	3	17.9652	8.47424	6.8843	6.0538	10.623	9.15293	13.6601	14.1858	6.96597	6.0347
YAL021C	CCR4	"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening"	8	12.2647	7.20773	7.7293	4.4253	5.11609	10.1324	19.8234	21.0557	7.8033	4.44209
YAL023C	PMT2	"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5; target for new antifungal"	42	12.3286	13.5252	9.94556	7.63802	10.6738	10.0831	9.69944	11.8999	7.89805	6.30835
YAL024C	LTE1	Protein similar to GDP/GTP exchange factors but without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures	1	11.2705	10.1553	10.6909	11.2127	7.27004	8.49015	11.4748	13.1791	6.85276	9.40372
YAL025C	MAK16	"Essential nuclear protein, constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus"	3	9.98475	12.8767	9.51813	8.35514	8.77845	13.2651	10.5041	10.9489	7.44853	8.32023
YAL026C	DRS2	Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation and endocytosis; mutations in human homolog ATP8B1 result in liver disease	17	14.2263	11.6814	9.36517	6.93857	9.19165	11.4198	11.1075	11.2109	8.0989	6.75975
